仕入先[   1010]-[ 100000] ＊＊ 仕入先ﾌﾟﾙｰﾌﾘｽﾄ ＊＊ DATE : 2025/05/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
仕入先CD,仕入先名ｶﾅ,仕入先名,仕入先(略),郵便番号,住所1,住所2,E-mail,URL,電話番号,FAX番号,担当者CD,担当者名,支払先CD,税区分(買掛),税端数(買掛),仕入区分,税区分(現金),税端数(現金),締ｸﾞﾙｰﾌﾟ,支払明細書,支払予定日,支払区分,単価管理,単価ｸﾞﾙｰﾌﾟ,掛率,金額端数区分,登録日,最終更新日
1126,コードスペース,CodeSpaces,ｺｰﾄﾞｽﾍﾟｰｽ,889-0601,宮崎県臼杵郡門川町,須賀崎4丁目39-3,,,0982-63-7706,0982-63-7721,1,堀口(崇),1126,1 締時一括,3 切り上げ,1 買,2 伝票単位,3 切り上げ,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2022/2/19,2024/11/12
1127,ミヤザキチュウ,㈱宮崎中央新聞,㈱宮崎中央新聞,880-0911,宮崎市田吉6207-3,,,,0985-53-2600,0985-53-5800,1,堀口(崇),1127,1 締時一括,3 切り上げ,1 買,2 伝票単位,3 切り上げ,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2022/2/19,2024/11/12
1128,カイゼンヤ,改善屋,改善屋,899-5102,霧島市隼人町真孝860-5,,,,090-7466-2408,,1,堀口(崇),1128,1 締時一括,3 切り上げ,1 買,2 伝票単位,3 切り上げ,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2022/2/19,2024/11/12
1129,センコウ,㈱センコウ,㈱ｾﾝｺｳ,891-0123,霧島市国分清水1丁目5-41,,,,0995-47-6876,0995-47-2975,1,堀口(崇),1129,1 締時一括,3 切り上げ,1 買,2 伝票単位,3 切り上げ,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2022/2/19,2024/11/12
1130,アスクル,アスクル,ｱｽｸﾙ,890-0053,鹿児島市中央町10,ｷｬﾝｾﾋﾞﾙ6F,,,0120-933-664,,1,堀口(崇),1130,1 締時一括,3 切り上げ,1 買,2 伝票単位,3 切り上げ,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2022/2/19,2024/11/12
1131,ヘルスサポート,ヘルスサポートセンター鹿児島,ﾍﾙｽｻﾎﾟｰﾄｾﾝﾀｰ鹿児島,891-0115,鹿児島市東開町4-96,,,,099-210-1140,,1,堀口(崇),1131,1 締時一括,3 切り上げ,1 買,2 伝票単位,3 切り上げ,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2022/2/19,2024/11/12
1132,オキス,㈱オキス,㈱ｵｷｽ,893-0132,鹿屋市下高隈町5454-11,,,,0994-45-2508,0994-31-2333,1,堀口(崇),1132,1 締時一括,3 切り上げ,1 買,2 伝票単位,3 切り上げ,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2022/2/19,2024/11/12
1133,ニシセイチャコ,西製茶工場,西製茶工場,899-6501,霧島市牧園町万膳798,,,,0995-76-9303,0995-76-9408,1,堀口(崇),1133,1 締時一括,3 切り上げ,1 買,2 伝票単位,3 切り上げ,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2022/2/19,2024/11/12
1134,ラクテングルー,楽天グループ㈱,楽天ｸﾞﾙｰﾌﾟ㈱,158-0094,東京都世田谷区玉川1丁目14-1,楽天クリムゾンハウス,,,050-5533-1899,,1,堀口(崇),1134,1 締時一括,3 切り上げ,1 買,2 伝票単位,3 切り上げ,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2022/2/19,2024/11/12
1135,アッシス,ACCIS,ACCIS,060-0807,北海道札幌市北区北七条西6-2-34,SKビル7F,,,011-375-0123,011-375-0193,1,堀口(崇),1135,1 締時一括,3 切り上げ,1 買,2 伝票単位,3 切り上げ,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2022/2/19,2024/11/12
1136,ナカザキコウニ,中崎公認会計士事務所,中崎公認会計士事務所,892-0846,鹿児島県鹿児島市加治屋町4-35,,,,099-226-3151,,1,堀口(崇),1136,1 締時一括,3 切り上げ,1 買,2 伝票単位,3 切り上げ,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2022/2/19,2024/11/12
1137,テラマエシャカ,寺前社会保険労務士事務所,寺前社会保険労務士事,890-0014,鹿児島県鹿児島市草牟田2-14-21,,,,099-222-9091,099-222-9093,1,堀口(崇),1137,1 締時一括,3 切り上げ,1 買,2 伝票単位,3 切り上げ,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2022/2/19,2024/11/12
1138,アイエヌティー,㈱アイエヌティー,㈱ｱｲｴﾇﾃｨｰ,455-0076,愛知県名古屋市港区川間町,3丁目-7,,,052-665-2920,052-665-2924,1,堀口(崇),1138,1 締時一括,3 切り上げ,1 買,2 伝票単位,3 切り上げ,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2022/3/5,2024/11/12
1139,テンケンソウイ,店研創意(ｽﾄｱｴｷｽﾌﾟﾚｽ),店研創意(ｽﾄｱｴｷｽﾌﾟﾚｽ),541-0056,大阪府大阪市中央区久太郎町3-4-20,,,,06-6203-6660,,1,堀口(崇),1139,1 締時一括,3 切り上げ,1 買,2 伝票単位,3 切り上げ,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2022/3/7,2024/11/12
1140,オフィスメーカ,オフィスメーカー(たのめーる),ｵﾌｨｽﾒｰｶｰ(たのめｰる),108-0014,東京都港区芝4-11-5　KTﾋﾞﾙ9F,,,,03-6436-3127,,1,堀口(崇),1140,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2022/3/10,2024/11/12
1141,モノタロウ,モノタロウ,ﾓﾉﾀﾛｳ,660-0876,兵庫県尼崎市竹谷町2-183,,,,0120-443-509,0120-289-888,1,堀口(崇),1141,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2022/3/10,2024/11/12
1142,ユーピーアール,ユーピーアール㈱,ﾕｰﾋﾟｰｱｰﾙ㈱,8900046,鹿児島市西田1-5-1,鹿児島高見橋ビル5F,,,099-230-0450,099-230-0451,1,堀口(崇),1142,1 締時一括,3 切り上げ,1 買,2 伝票単位,3 切り上げ,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2022/5/9,2024/11/12
1143,スライブセイコ,㈱スライブ精工,㈱ｽﾗｲﾌﾞ精工,899-2701,鹿児島市石谷町2058-6,,,,099-248-9230,099-248-9236,1,堀口(崇),1143,1 締時一括,3 切り上げ,1 買,2 伝票単位,3 切り上げ,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2022/5/12,2024/11/12
1145,マルビシ,㈱丸菱,㈱丸菱,550-0021,大阪府大阪市西区川口3-5-14,,,,06-6581-1835,06-6581-4600,1,堀口(崇),1145,1 締時一括,3 切り上げ,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2022/6/5,2024/11/12
1146,コバヤシジンセ,㈱小林甚製麺,㈱小林甚製麺,859-2212,長崎県南島原市西有家町須川388,,,,0957-82-2224,0957-82-8644,1,堀口(崇),1146,1 締時一括,3 切り上げ,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2022/6/5,2024/11/12
1147,ジャパンポテト,Japan Potato㈲,Japan Potato㈲,893-1602,鹿児島県肝属郡串良町有里7980-1,,,,0994-35-1600,0994-35-1644,1,堀口(崇),1147,2 伝票単位,2 切り捨て,1 買,2 伝票単位,2 切り捨て,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2022/8/8,2024/11/12
1148,オクムラセイカ,奥村製罐㈱,奥村製罐㈱,610-0301,京都府綴喜郡井手町多賀,西松ヶ花1,,,0774-82-2078,0774-82-4324,1,堀口(崇),1148,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2022/12/9,2024/11/12
1149,セシール,㈱セシール,㈱ｾｼｰﾙ,769-2102,香川県さぬき市鴨庄4259-1,,,,0570-032-233,,1,堀口(崇),1149,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2022/12/9,2024/11/12
1150,ウイルマン,㈱ウイルマン,㈱ｳｲﾙﾏﾝ,612-8465,京都府京都市伏見区中島樋ノ上町,1番地　小坂ビル1F,,,075-605-0621,075-605-1077,1,堀口(崇),1150,1 締時一括,3 切り上げ,1 買,2 伝票単位,3 切り上げ,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,3,2023/3/10,2024/11/12
1151,シブシホウリツ,志布志法律事務所,志布志法律事務所,899-7104,鹿児島県志布志市志布志町安楽2269-1,,,,099-479-3420,,1,堀口(崇),1151,1 締時一括,3 切り上げ,1 買,2 伝票単位,3 切り上げ,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2023/8/10,2024/11/12
1152,フェデラルエク,フェデラルエクスプレス,ﾌｪﾃﾞﾗﾙｴｸｽﾌﾟﾚｽ,261-7110,千葉県千葉市美浜区中瀬2-6-1,WBGマリブウエスト,,,,,1,堀口(崇),1152,1 締時一括,3 切り上げ,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2023/10/9,2024/11/12
1153,インフォマート,㈱インフォマート,㈱ｲﾝﾌｫﾏｰﾄ,105-0022,東京都港区海岸1-2-3,汐留芝離宮ﾋﾞﾙﾃﾞｨﾝｸﾞ13F,,,03-5776-1147,,1,堀口(崇),1153,1 締時一括,2 切り捨て,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2023/11/9,2024/11/12
1154,ＢＭＬフードサ,㈱BMLフード・サイエンス,㈱BMLﾌｰﾄﾞ･ｻｲｴﾝｽ,816-0057,福岡県福岡市博多区西月隈1-2-27,,,,092-432-8441,,1,堀口(崇),1154,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2023/11/9,2024/11/12
1155,バンドウキコウ,阪東機工㈱,阪東機工㈱,885-0017,宮崎県都城市年見町31-9,,,,0986-25-1111,0986-25-1144,1,堀口(崇),1155,1 締時一括,3 切り上げ,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2024/2/7,2024/11/12
1156,トリベセキユ,㈲トリベ石油,㈲ﾄﾘﾍﾞ石油,,鹿児島市西伊敷6-41-1,,,,099-220-9225,,1,堀口(崇),1156,1 締時一括,3 切り上げ,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2024/2/7,2024/11/12
1157,ＡＬＳＯＫエム,ALSOKエムビック研究所㈱,ALSOKエムビック研究,183-0035,東京都府中市四谷5丁目2726-5,,,,042-330-8830,042-330-8831,1,堀口(崇),1157,1 締時一括,3 切り上げ,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2024/2/7,2024/11/12
1158,チャショウロク,㈱茶匠六兵衛,㈱茶匠六兵衛,603-8215,京都府京都市北区紫野下門前町63-2,,,,075-493-0063,,1,堀口(崇),1158,1 締時一括,3 切り上げ,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2024/2/7,2024/11/12
1159,ハートコーポレ,ハートコーポレーション㈱,ﾊｰﾄｺｰﾎﾟﾚｰｼｮﾝ㈱,,,,,,,,1,堀口(崇),1159,1 締時一括,3 切り上げ,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2024/2/7,2024/11/12
1160,ラクーンフィナ,㈱ラクーンフィナンシャル(Paid),㈱ﾗｸｰﾝﾌｨﾅﾝｼｬﾙ(Paid),103-0014,東京都中央区日本橋蛎殻町,1-14-14,,,03-6684-9505,,1,堀口(崇),1160,1 締時一括,3 切り上げ,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2024/2/10,2024/11/12
1161,トータルオフィ,㈱トータルオフィスネットワーク,㈱ﾄｰﾀﾙｵﾌｨｽﾈｯﾄﾜｰｸ,870-0003,大分県大分市生石4-2-8,,,,097-513-1117,097-516-1118,1,堀口(崇),1161,1 締時一括,3 切り上げ,1 買,2 伝票単位,3 切り上げ,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2024/5/9,2024/11/12
1162,ブルーリバー,ブルーリバー㈱,ﾌﾞﾙｰﾘﾊﾞｰ㈱,899-7103,志布志市志布志町志布志3-20-24,サンライズロードビル203,,,099-401-5896,099-401-6305,1,堀口(崇),1162,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2024/8/6,2024/8/6
1163,モリミツショウ,㈱森光商店,㈱森光商店,841-8611,佐賀県鳥栖市藤木町字若桜9-7,,,,0942-85-0183,0942-83-8868,1,堀口(崇),1163,1 締時一括,3 切り上げ,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2024/9/14,2024/11/12
1164,ケーアイエス,㈱ケー・アイ・エス,㈱ｹｰ･ｱｲ･ｴｽ,113-0023,東京都文京区向丘1-1-16,,,,03-3813-6731,03-3813-6355,1,堀口(崇),1164,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2024/10/9,2024/11/12
1165,シズオカロース,静岡ローストシステム㈱,静岡ﾛｰｽﾄｼｽﾃﾑ㈱,421-0506,静岡県牧之原市大寄542-1,,,,0548-54-1124,0548-54-1123,1,堀口(崇),1165,1 締時一括,3 切り上げ,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2024/12/14,2024/12/14
1166,ｾﾙﾌﾟｱｲｾｲｼﾞｭｻﾝ,セルプあいせい,ｾﾙﾌﾟあいせい,,鹿児島県曽於郡大崎町,菱田2987番地3,,,099-477-1233,099-477-1589,1,堀口(崇),1166,1 締時一括,3 切り上げ,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2025/3/11,2025/3/11
1167,フジニショウカ,㈲藤二商会,㈲藤二商会,615-8162,京都府京都市西京区樫原上ノ町,5番地,,,075-381-3338,075-391-6931,1,堀口(崇),1167,1 締時一括,2 切り捨て,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2025/4/11,2025/4/11
1168,メセナショクサ,㈱メセナ食彩センター,㈱ﾒｾﾅ食彩ｾﾝﾀｰ,899-8605,鹿児島県曽於市末吉町二之方,371-3,,,0986-76-7468,0986-76-7494,1,堀口(崇),1168,1 締時一括,1 四捨五入,1 買,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,1,2025/4/11,2025/4/11
100000,コードスペースホン,CodeSpaces　本社,CodeSpaces 本社,,,,,,,,1,堀口(崇),100000,1 締時一括,2 切り捨て,2 現,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,2,2000/5/11,2024/11/12
100001,,店舗仕入,店舗仕入,,,,,,,,1,堀口(崇),100001,1 締時一括,2 切り捨て,2 現,2 伝票単位,1 四捨五入,31,印刷する,0ヶ月後 0日払,,1 個別単価,,,2,2000/5/11,2024/11/12
